pa,avg,chase_pct,avg_ev,season,full_name,birth_year_clean,age
430.0,0.06392132759680394,0.29671574178935445,85.25640074211502,2022.0,Joc Pederson,1992,30.0
566.0,0.06641721234798878,0.3130044843049327,83.86533864541838,2022.0,J.T. Realmuto,1991,31.0
519.0,0.06182933060807358,0.3155430711610487,83.42434915773357,2022.0,Hunter Renfroe,1992,30.0
274.0,0.0539714867617108,0.3996415770609319,81.5262996941896,2022.0,Eddie Rosario,1991,31.0
663.0,0.05491990846681922,0.22907801418439716,84.15529265255303,2022.0,Christian Yelich,1991,31.0
542.0,0.061696658097686374,0.29580348004094165,81.54096858638744,2022.0,Whit Merrifield,1989,33.0
631.0,0.06977704376548308,0.2932505818463926,82.79612983770286,2022.0,Xander Bogaerts,1992,30.0
458.0,0.04680851063829787,0.24926108374384237,82.67455830388693,2022.0,Jorge Polanco,1993,29.0
427.0,0.04727272727272727,0.32641921397379914,83.95493230174081,2022.0,Kole Calhoun,1987,35.0
325.0,0.05358615004122012,0.34340222575516693,82.35375302663438,2022.0,Adam Duvall,1988,34.0
229.0,0.05818181818181818,0.279126213592233,80.89705882352943,2022.0,Kevin Kiermaier,1990,32.0
280.0,0.06754032258064516,0.4576923076923077,82.12171428571425,2022.0,Jorge Alfaro,1993,29.0
658.0,0.053064275037369206,0.23546302943287867,82.63519553072629,2022.0,Jurickson Profar,1993,29.0
588.0,0.06365403304178814,0.46963562753036436,82.00300429184546,2022.0,Javier Báez,1992,30.0
336.0,0.04052936311000827,0.2876923076923077,77.83510101010107,2022.0,Austin Hedges,1992,30.0
694.0,0.06149341142020498,0.29577464788732394,84.05981210855953,2022.0,Francisco Lindor,1993,29.0
474.0,0.052508751458576426,0.307027027027027,82.2240400667779,2022.0,Rougned Odor,1994,28.0
322.0,0.057738572574178026,0.2665706051873199,81.67458100558663,2022.0,Austin Slater,1992,30.0
407.0,0.053729456384323644,0.3325499412455934,81.49980582524275,2022.0,Trevor Story,1992,30.0
